Time(sec),Time(hh),TGT (C),NH(%),NL(%),ALT,LAS,OAT c,Validity,WonW
0,00:00.1,0,0,5,2288,1,30.6,0x0000,TRUE
0,00:00.3,8.9,21,5.2,2288,1,30.6,0x0000,TRUE
0,00:00.4,19.2,21.3,5.4,2288,1,30.6,0x0000,TRUE
0,00:00.5,29.2,21.5,5.6,2288,1,30.6,0x0000,TRUE
0,00:00.6,38.8,21.7,5.8,2288,0,30.6,0x0000,TRUE
0,00:00.8,48,21.9,6,2288,0,30.6,0x0000,TRUE
0,00:00.9,56.9,22.2,6.2,2288,0,30.6,0x0000,TRUE
1,00:01.0,65.7,22.4,6.4,2288,0,30.6,0x0000,TRUE
1,00:01.1,73.9,22.6,6.6,2288,0,30.8,0x0000,TRUE
1,00:01.3,82.4,22.8,6.8,2288,0,30.8,0x0000,TRUE
1,00:01.4,91,23,7,2288,0,30.8,0x0000,TRUE
1,00:01.5,99.5,23.2,7.2,2288,0,30.8,0x0000,TRUE
1,00:01.6,107.8,23.4,7.4,2288,1,30.8,0x0000,TRUE
1,00:01.8,116.4,23.6,7.7,2288,1,30.8,0x0000,TRUE
1,00:01.9,125.1,23.8,7.9,2288,1,30.8,0x0000,TRUE
2,00:02.0,133.8,24,8.1,2288,1,30.8,0x0000,TRUE
2,00:02.1,142.2,24.2,8.3,2288,0,30.8,0x0000,TRUE
2,00:02.3,151,24.4,8.6,2288,0,30.8,0x0000,TRUE
2,00:02.4,159.8,24.6,8.8,2288,0,30.8,0x0000,TRUE
2,00:02.5,168.6,24.8,9,2288,0,30.8,0x0000,TRUE
2,00:02.6,177.5,25.1,9.3,2288,1,30.8,0x0000,TRUE
2,00:02.8,186,25.3,9.5,2288,1,30.8,0x0000,TRUE
2,00:02.9,194.9,25.5,9.8,2288,1,30.8,0x0000,TRUE
3,00:03.0,203.4,25.6,10,2288,1,30.8,0x0000,TRUE
3,00:03.1,211.7,25.9,10.2,2288,0,30.8,0x0000,TRUE
3,00:03.3,220.2,26.1,10.5,2288,0,30.8,0x0000,TRUE
3,00:03.4,228.4,26.3,10.7,2288,0,30.8,0x0000,TRUE
3,00:03.5,236.5,26.6,11,2288,0,30.8,0x0000,TRUE
3,00:03.6,244.4,26.8,11.2,2288,0,30.8,0x0000,TRUE
3,00:03.8,252.2,27,11.5,2288,0,30.8,0x0000,TRUE
3,00:03.9,259.7,27.2,11.7,2288,0,30.8,0x0000,TRUE
4,00:04.0,267.1,27.5,12,2288,0,30.8,0x0000,TRUE
4,00:04.1,274.3,27.7,12.2,2288,0,30.8,0x0000,TRUE
4,00:04.3,281.1,28,12.5,2288,0,30.8,0x0000,TRUE
4,00:04.4,287.9,28.2,12.7,2288,0,30.8,0x0000,TRUE
4,00:04.5,294.4,28.4,13,2288,0,30.8,0x0000,TRUE
4,00:04.6,300.6,28.7,13.2,2288,1,30.6,0x0000,TRUE
4,00:04.8,306.7,28.9,13.5,2288,1,30.6,0x0000,TRUE
4,00:04.9,312.6,29.2,13.7,2288,1,30.6,0x0000,TRUE
5,00:05.0,318.5,29.5,14,2288,1,30.6,0x0000,TRUE
5,00:05.1,323.7,29.7,14.2,2288,0,30.8,0x0000,TRUE
5,00:05.2,329,30,14.5,2288,0,30.8,0x0000,TRUE
5,00:05.4,334.6,30.2,14.8,2288,0,30.8,0x0000,TRUE
5,00:05.5,339.5,30.5,15,2288,0,30.8,0x0000,TRUE
5,00:05.6,344.5,30.8,15.3,2288,0,30.8,0x0000,TRUE
5,00:05.8,349.4,31,15.5,2288,0,30.8,0x0000,TRUE
5,00:05.9,354.4,31.3,15.8,2288,0,30.8,0x0000,TRUE
6,00:06.0,359,31.6,16,2288,0,30.8,0x0000,TRUE
6,00:06.1,364,31.8,16.2,2288,1,30.6,0x0000,TRUE
6,00:06.3,368.6,32,16.5,2288,1,30.6,0x0000,TRUE
6,00:06.4,373.3,32.3,16.7,2288,1,30.6,0x0000,TRUE
6,00:06.5,377.6,32.6,17,2288,1,30.6,0x0000,TRUE
6,00:06.6,382.3,32.8,17.2,2288,0,30.8,0x0000,TRUE
6,00:06.8,386.3,33.1,17.4,2288,0,30.8,0x0000,TRUE
6,00:06.9,390.7,33.4,17.7,2288,0,30.8,0x0000,TRUE
7,00:07.0,394.4,33.6,17.9,2288,0,30.8,0x0000,TRUE
7,00:07.1,398.5,33.8,18.1,2288,0,30.6,0x0000,TRUE
7,00:07.3,402.2,34.1,18.3,2288,0,30.6,0x0000,TRUE
7,00:07.4,406,34.4,18.5,2288,0,30.6,0x0000,TRUE
7,00:07.5,409.8,34.6,18.8,2288,0,30.6,0x0000,TRUE
7,00:07.6,413.2,35,19,2288,0,30.8,0x0000,TRUE
7,00:07.8,416.7,35.3,19.2,2288,0,30.8,0x0000,TRUE
7,00:07.9,420.1,35.6,19.4,2288,0,30.8,0x0000,TRUE
8,00:08.0,423.3,35.8,19.6,2288,0,30.8,0x0000,TRUE
8,00:08.1,426.5,36.1,19.8,2288,0,30.6,0x0000,TRUE
8,00:08.3,429.6,36.4,20,2288,0,30.6,0x0000,TRUE
8,00:08.4,432.5,36.7,20.2,2288,0,30.6,0x0000,TRUE
8,00:08.5,435.4,37,20.4,2288,0,30.6,0x0000,TRUE
8,00:08.6,438.3,37.3,20.7,2288,0,30.6,0x0000,TRUE
8,00:08.8,440.8,37.5,20.9,2288,0,30.6,0x0000,TRUE
8,00:08.9,443.4,37.8,21.1,2288,0,30.6,0x0000,TRUE
9,00:09.0,446,38.1,21.3,2288,0,30.6,0x0000,TRUE
9,00:09.1,448.3,38.4,21.5,2288,4,30.6,0x0000,TRUE
9,00:09.3,450.6,38.7,21.7,2288,4,30.6,0x0000,TRUE
9,00:09.4,452.9,39,21.9,2288,4,30.6,0x0000,TRUE
9,00:09.5,455.2,39.3,22.1,2288,4,30.6,0x0000,TRUE
9,00:09.6,457.2,39.6,22.3,2288,5,30.6,0x0000,TRUE
9,00:09.8,459.2,39.8,22.5,2288,5,30.6,0x0000,TRUE
9,00:09.9,460.7,40.1,22.7,2288,5,30.6,0x0000,TRUE
10,00:10.0,462.4,40.4,22.9,2288,5,30.6,0x0000,TRUE
10,00:10.1,464.1,40.6,23.1,2288,4,30.6,0x0000,TRUE
10,00:10.2,465.5,40.9,23.3,2288,4,30.6,0x0000,TRUE
10,00:10.4,467,41.1,23.5,2288,4,30.6,0x0000,TRUE
10,00:10.5,468.4,41.3,23.7,2288,4,30.6,0x0000,TRUE
10,00:10.6,469.6,41.5,23.9,2288,0,30.6,0x0000,TRUE
10,00:10.7,470.7,41.7,24,2288,0,30.6,0x0000,TRUE
10,00:10.9,471.9,42,24.2,2288,0,30.6,0x0000,TRUE
11,00:11.0,473,42.2,24.4,2288,0,30.6,0x0000,TRUE
11,00:11.1,473.9,42.4,24.6,2288,0,30.6,0x0000,TRUE
11,00:11.3,474.7,42.6,24.7,2288,0,30.6,0x0000,TRUE
11,00:11.4,475.3,42.9,24.9,2288,0,30.6,0x0000,TRUE
11,00:11.5,476.2,43.1,25.1,2288,0,30.6,0x0000,TRUE
11,00:11.6,476.7,43.3,25.2,2288,0,30.5,0x0000,TRUE
11,00:11.7,477.6,43.5,25.4,2288,0,30.5,0x0000,TRUE
11,00:11.9,478.2,43.7,25.5,2288,0,30.5,0x0000,TRUE
12,00:12.0,478.7,44,25.7,2288,0,30.5,0x0000,TRUE
12,00:12.1,479,44.1,25.8,2288,0,30.6,0x0000,TRUE
12,00:12.2,479.3,44.3,26,2288,0,30.6,0x0000,TRUE
12,00:12.4,479.6,44.5,26.1,2288,0,30.6,0x0000,TRUE
12,00:12.5,479.9,44.8,26.3,2288,0,30.6,0x0000,TRUE
12,00:12.6,480.2,45,26.4,2288,0,30.6,0x0000,TRUE
12,00:12.8,480.2,45.2,26.5,2288,0,30.6,0x0000,TRUE
12,00:12.9,480.2,45.4,26.7,2288,0,30.6,0x0000,TRUE
13,00:13.0,480.2,45.6,26.8,2288,0,30.6,0x0000,TRUE
13,00:13.1,479.9,45.8,26.9,2288,5,30.5,0x0000,TRUE
13,00:13.2,479.9,45.9,27,2288,5,30.5,0x0000,TRUE
13,00:13.4,479.6,46.1,27.1,2288,5,30.5,0x0000,TRUE
13,00:13.5,479.3,46.1,27.2,2288,5,30.5,0x0000,TRUE
13,00:13.6,479,46.2,27.3,2288,1,30.8,0x0000,TRUE
13,00:13.7,478.7,46.2,27.4,2288,1,30.8,0x0000,TRUE
13,00:13.9,478.2,46.3,27.5,2288,1,30.8,0x0000,TRUE
14,00:14.0,477.6,46.4,27.6,2288,1,30.8,0x0000,TRUE
14,00:14.1,477,46.5,27.7,2288,0,30.6,0x0000,TRUE
14,00:14.2,476.4,46.5,27.7,2288,0,30.6,0x0000,TRUE
14,00:14.4,475.9,46.6,27.8,2288,0,30.6,0x0000,TRUE
14,00:14.5,475.3,46.7,27.9,2288,0,30.6,0x0000,TRUE
14,00:14.6,474.7,46.7,27.9,2288,0,30.6,0x0000,TRUE
14,00:14.7,473.9,46.8,28,2288,0,30.6,0x0000,TRUE
14,00:14.9,473.3,46.8,28,2288,0,30.6,0x0000,TRUE
15,00:15.0,472.7,46.9,28.1,2288,0,30.6,0x0000,TRUE
15,00:15.1,472.1,47,28.1,2288,0,30.8,0x0000,TRUE
15,00:15.2,471.3,47,28.2,2288,0,30.8,0x0000,TRUE
15,00:15.4,470.4,47.1,28.2,2288,0,30.8,0x0000,TRUE
15,00:15.5,469.8,47.2,28.3,2288,0,30.8,0x0000,TRUE
15,00:15.6,469,47.2,28.3,2288,0,30.6,0x0000,TRUE
15,00:15.8,468.4,47.3,28.3,2288,0,30.6,0x0000,TRUE
15,00:15.9,467.6,47.3,28.4,2288,0,30.6,0x0000,TRUE
16,00:16.0,467,47.4,28.4,2288,0,30.6,0x0000,TRUE
16,00:16.1,466.1,47.5,28.5,2288,0,30.8,0x0000,TRUE
16,00:16.2,465.3,47.5,28.5,2288,0,30.8,0x0000,TRUE
16,00:16.4,464.4,47.6,28.5,2288,0,30.8,0x0000,TRUE
16,00:16.5,463.5,47.6,28.5,2288,0,30.8,0x0000,TRUE
16,00:16.6,462.7,47.7,28.6,2288,0,30.8,0x0000,TRUE
16,00:16.8,461.8,47.7,28.6,2288,0,30.8,0x0000,TRUE
16,00:16.9,460.9,47.8,28.6,2288,0,30.8,0x0000,TRUE
17,00:17.0,460.1,47.8,28.7,2288,0,30.8,0x0000,TRUE
17,00:17.1,459.2,47.9,28.7,2288,1,30.8,0x0000,TRUE
17,00:17.3,458.4,47.9,28.7,2288,1,30.8,0x0000,TRUE
17,00:17.4,457.5,48,28.7,2288,1,30.8,0x0000,TRUE
17,00:17.5,456.9,48,28.7,2288,1,30.8,0x0000,TRUE
17,00:17.6,456.1,48.1,28.8,2288,1,30.6,0x0000,TRUE
17,00:17.7,455.2,48.1,28.8,2288,1,30.6,0x0000,TRUE
17,00:17.9,454.3,48.2,28.8,2288,1,30.6,0x0000,TRUE
18,00:18.0,453.2,48.2,28.8,2288,1,30.6,0x0000,TRUE
18,00:18.1,452.3,48.3,28.8,2288,1,30.9,0x0000,TRUE
18,00:18.3,451.5,48.3,28.9,2288,1,30.9,0x0000,TRUE
18,00:18.4,450.6,48.4,28.9,2288,1,30.9,0x0000,TRUE
18,00:18.5,449.5,48.4,28.9,2288,1,30.9,0x0000,TRUE
18,00:18.6,448.6,48.4,28.9,2288,0,30.6,0x0000,TRUE
18,00:18.7,447.7,48.5,28.9,2288,0,30.6,0x0000,TRUE
18,00:18.9,446.6,48.5,28.9,2288,0,30.6,0x0000,TRUE
19,00:19.0,445.7,48.6,28.9,2288,0,30.6,0x0000,TRUE
19,00:19.1,444.9,48.6,29,2288,0,30.8,0x0000,TRUE
19,00:19.3,444,48.6,29,2288,0,30.8,0x0000,TRUE
19,00:19.4,442.9,48.7,29,2288,0,30.8,0x0000,TRUE
19,00:19.5,442,48.7,29,2288,0,30.8,0x0000,TRUE
19,00:19.6,441.1,48.7,29,2288,4,30.6,0x0000,TRUE
19,00:19.7,440,48.8,29,2288,4,30.6,0x0000,TRUE
19,00:19.9,439.1,48.8,29,2288,4,30.6,0x0000,TRUE
20,00:20.0,438.3,48.8,29,2288,4,30.6,0x0000,TRUE
20,00:20.1,437.4,48.9,29.1,2288,0,30.8,0x0000,TRUE
20,00:20.3,436.2,48.9,29.1,2288,0,30.8,0x0000,TRUE
20,00:20.4,435.7,48.9,29.1,2288,0,30.8,0x0000,TRUE
20,00:20.5,434.5,49,29.1,2288,0,30.8,0x0000,TRUE
20,00:20.6,433.7,49,29.1,2288,0,30.9,0x0000,TRUE
20,00:20.8,432.8,49,29.1,2288,0,30.9,0x0000,TRUE
20,00:20.9,431.9,49.1,29.2,2288,0,30.9,0x0000,TRUE
21,00:21.0,431.4,49.1,29.2,2288,0,30.9,0x0000,TRUE
21,00:21.1,430.5,49.2,29.2,2288,0,30.6,0x0000,TRUE
21,00:21.3,429.6,49.2,29.2,2288,0,30.6,0x0000,TRUE
21,00:21.4,429.1,49.2,29.2,2288,0,30.6,0x0000,TRUE
21,00:21.5,428.2,49.3,29.2,2288,0,30.6,0x0000,TRUE
21,00:21.6,427.6,49.3,29.3,2288,4,30.8,0x0000,TRUE
21,00:21.8,426.8,49.3,29.3,2288,4,30.8,0x0000,TRUE
21,00:21.9,425.9,49.4,29.3,2288,4,30.8,0x0000,TRUE
22,00:22.0,425.3,49.4,29.3,2288,4,30.8,0x0000,TRUE
22,00:22.1,424.7,49.4,29.3,2288,4,30.8,0x0000,TRUE
22,00:22.3,423.9,49.5,29.4,2288,4,30.8,0x0000,TRUE
22,00:22.4,423.3,49.5,29.4,2288,4,30.8,0x0000,TRUE
22,00:22.5,422.7,49.5,29.4,2288,4,30.8,0x0000,TRUE
22,00:22.6,421.9,49.6,29.4,2288,4,31,0x0000,TRUE
22,00:22.8,421.3,49.6,29.5,2288,4,31,0x0000,TRUE
22,00:22.9,420.7,49.6,29.5,2288,4,31,0x0000,TRUE
23,00:23.0,420.1,49.7,29.5,2288,4,31,0x0000,TRUE
23,00:23.1,419.6,49.7,29.5,2288,5,30.8,0x0000,TRUE
23,00:23.2,419,49.7,29.5,2288,5,30.8,0x0000,TRUE
23,00:23.4,418.4,49.7,29.6,2288,5,30.8,0x0000,TRUE
23,00:23.5,417.8,49.8,29.6,2288,5,30.8,0x0000,TRUE
23,00:23.6,417.3,49.8,29.6,2288,5,30.6,0x0000,TRUE
23,00:23.8,416.7,49.8,29.6,2288,5,30.6,0x0000,TRUE
23,00:23.9,416.4,49.9,29.6,2288,5,30.6,0x0000,TRUE
24,00:24.0,415.5,49.9,29.6,2288,5,30.6,0x0000,TRUE
24,00:24.1,415.2,50,29.7,2288,4,30.6,0x0000,TRUE
24,00:24.2,414.7,50,29.7,2288,4,30.6,0x0000,TRUE
24,00:24.4,414.1,50,29.7,2288,4,30.6,0x0000,TRUE
24,00:24.5,413.5,50.1,29.7,2288,4,30.6,0x0000,TRUE
24,00:24.6,412.9,50.1,29.7,2288,4,30.8,0x0000,TRUE
24,00:24.8,412.3,50.1,29.7,2288,4,30.8,0x0000,TRUE
24,00:24.9,411.8,50.2,29.8,2288,4,30.8,0x0000,TRUE
25,00:25.0,411.2,50.2,29.8,2288,4,30.8,0x0000,TRUE
25,00:25.1,410.6,50.2,29.8,2288,4,30.9,0x0000,TRUE
25,00:25.3,410,50.3,29.8,2288,4,30.9,0x0000,TRUE
25,00:25.4,409.5,50.3,29.8,2288,4,30.9,0x0000,TRUE
25,00:25.5,408.9,50.4,29.9,2288,4,30.9,0x0000,TRUE
25,00:25.6,408.3,50.4,29.9,2288,4,30.8,0x0000,TRUE
25,00:25.8,407.7,50.4,29.9,2288,4,30.8,0x0000,TRUE
25,00:25.9,407.2,50.4,29.9,2288,4,30.8,0x0000,TRUE
26,00:26.0,406.9,50.5,29.9,2288,4,30.8,0x0000,TRUE
26,00:26.1,406.3,50.5,30,2288,4,30.6,0x0000,TRUE
